season_year,player_name,team_name,nationality,apps,clean_sheets,goals_conceded,minutes_per_goal_conceded
1992,Fabien Barthez,Olympique de Marsella,Francia,10,7,4,225
1992,Francesco Antonioli,AC Milan,Italia,4,4,0,0
1992,Sebastiano Rossi,AC Milan,Italia,6,4,2,269
1992,Thomas Ravelli,IFK Göteborg,Suecia,8,4,8,90
1992,Andy Goram,Rangers FC,Escocia,10,4,7,129
1992,Vítor Baía,FC Oporto,Portugal,10,4,8,110
1992,Dany Verlinden,Club Brujas KV,Bélgica,10,4,11,82
1992,Hans van Breukelen,PSV Eindhoven,Países Bajos,9,3,12,68
1992,Carlo Cudicini,AC Milan,Italia,2,2,0,0
1992,Florin Tene,FC Dinamo 1948,Rumania,4,2,3,120
1992,Andoni Zubizarreta,FC Barcelona,España,4,2,4,90
1992,Kazimierz Sidorczuk,Lech Poznan,Polonia / Austria,4,2,4,90
1992,Valente,FC Oporto,Portugal,1,1,0,0
1992,Pascal Olmeta,Olympique de Marsella,Francia,1,1,0,0
1992,Lars Gaute Bø,Viking FK,Noruega,2,1,1,180
1992,Olegs Grisins,Skonto Riga (- 2016),Letonia,2,1,2,90
1992,Dick Last,IFK Göteborg,Suecia,2,1,2,90
1992,Jyrki Rovio,FC Kuusysi,Finlandia,2,1,2,90
1992,Tamás Balogh,Ferencváros TC,Hungría,2,1,4,45
1992,Evgeniy Plotnikov,CSKA Moscú,Rusia,3,1,3,90
1992,Eike Immel,VfB Stuttgart,Alemania,3,1,5,54
1992,Aleksandr Guteev,CSKA Moscú,Rusia,3,1,7,32
1992,Antonis Minou,AEK Atenas FC,Grecia,4,1,6,60
1992,Alexander Vencel,Slovan Bratislava,Eslovaquia,4,1,6,60
1992,Dmitriy Kharin,CSKA Moscú,Rusia,5,1,6,68
1993,Sebastiano Rossi,AC Milan,Italia,11,9,2,495
1993,Vítor Baía,FC Oporto,Portugal,11,7,9,110
1993,Filip De Wilde,RSC Anderlecht,Bélgica,10,6,11,82
1993,Andoni Zubizarreta,FC Barcelona,España,12,6,12,90
1993,Hayrettin Demirbaş,Galatasaray,Turquía,10,4,14,64
1993,Jean-Luc Ettori,AS Mónaco,Francia,11,4,10,99
1993,Aleksandr Pomazun,FC Spartak de Moscú,Rusia / Ucrania,6,3,6,85
1993,Ed de Goey,Feyenoord,Países Bajos,4,2,2,180
1993,Gintaras Stauce,FC Spartak de Moscú,Lituania,5,2,8,49
1993,Mario Ielpo,AC Milan,Italia,1,1,0,0
1993,Andreas Hilfiker,FC Aarau,Suiza,2,1,1,180
1993,Magnus Hedman,AIK,Suecia,2,1,2,90
1993,Hans-Jürgen Gundelach,SV Werder Bremen,Alemania,2,1,2,90
1993,David Cluett,Floriana FC,Malta,2,1,2,90
1993,Kristján Finnbogi Finnbogason,ÍA Akranes,Islandia,2,1,3,60
1993,Wesley Lamont,Linfield FC,Irlanda del Norte,2,1,4,45
1993,Petr Kouba,AC Sparta Praga,República Checa,3,1,5,54
1993,Jaroslaw Bako,Lech Poznan,Polonia,3,1,5,45
1993,Peter Schmeichel,Manchester United,Dinamarca / Polonia,4,1,6,60
1993,Dumitru Stangaciu,FCSB,Rumania,4,1,8,45
1993,Palle Petersen,FC Copenhague,Dinamarca,4,1,10,36
1993,Milan Sova,AC Sparta Praga,República Checa,1,0,1,90
1993,Gennadiy Tumilovich,Dinamo Minsk,Bielorrusia / Rusia,1,0,1,90
1993,Oleg Morgun,Levski Sofia,Ucrania,1,0,3,30
1993,Andrey Satsunkevich,Dinamo Minsk,Bielorrusia,1,0,5,18
1994,Edwin van der Sar,Ajax de Ámsterdam,Países Bajos,11,8,4,248
1994,Sebastiano Rossi,AC Milan,Italia,11,7,6,165
1994,Tonci Gabric,HNK Hajduk Split,Croacia,7,4,6,105
1994,Thomas Ravelli,IFK Göteborg,Suecia,8,3,9,80
1994,Bernard Lama,París Saint-Germain FC,Francia / Guayana Francesa,10,3,8,113
1994,Sven Scheuer,Bayern Múnich,Alemania,4,2,6,48
1994,Otto Konrad,Red Bull Salzburgo,Austria,6,2,5,102
1994,Filip De Wilde,RSC Anderlecht,Bélgica,6,2,7,77
1994,Ilias Atmatsidis,AEK Atenas FC,Grecia,6,2,9,60
1994,Michel Preud'homme,SL Benfica,Bélgica,8,2,7,103
1994,Daniel Gherasim,FCSB,Rumania,1,1,0,0
1994,Uwe Gospodarek,Bayern Múnich,Alemania,2,1,2,80
1994,Peter Schmeichel,Manchester United,Dinamarca / Polonia,3,1,4,68
1994,Gary Walsh,Manchester United,Inglaterra,3,1,7,39
1994,Oliver Kahn,Bayern Múnich,Alemania,5,1,6,75
1994,Dumitru Stangaciu,FCSB,Rumania,6,1,6,90
1994,Gintaras Stauce,Galatasaray,Lituania,6,1,9,60
1994,Dmitriy Tyapushkin,FC Spartak de Moscú,Rusia / Ucrania,6,1,12,45
1994,Carles Busquets,FC Barcelona,España,8,1,11,65
1994,Herbert Ilsanker,Red Bull Salzburgo,Austria,1,0,1,30
1994,Zoran Slavica,HNK Hajduk Split,Croacia,1,0,4,23
1994,Oleksandr Shovkovskyi,FC Dinamo de Kiev,Ucrania,6,0,11,49
1995,Edwin van der Sar,Ajax de Ámsterdam,Países Bajos,11,8,7,141
1995,Jozef Wandzik,Panathinaikos FC,Polonia,10,7,6,150
1995,Angelo Peruzzi,Juventus de Turín,Italia,10,4,11,82
1995,Stanislav Cherchesov,FC Spartak de Moscú,Rusia,6,3,4,135
1995,Vítor Baía,FC Oporto,Portugal,6,3,5,108
1995,Bogdan Stelea,FCSB,Rumania,6,3,5,108
1995,Paco Buyo,Real Madrid CF,España,7,3,5,126
1995,Dominique Casagrande,FC Nantes,Francia,8,3,9,80
1995,Maciej Szczesny,Legia de Varsovia,Polonia,8,3,11,65
1995,Stefan Klos,Borussia Dortmund,Alemania,8,2,11,65
1995,Michelangelo Rampulla,Juventus de Turín,Italia,1,1,0,0
1995,David Marraud,FC Nantes,Francia,2,1,3,60
1995,Patrick Foletti,Grasshopper Club Zurich,Suiza / Italia,3,1,5,54
1995,Ola By Rise,Rosenborg BK,Noruega,4,1,9,40
1995,Tim Flowers,Blackburn Rovers,Inglaterra,6,1,8,68
1995,Attila Hajdu,Ferencváros TC,Hungría,6,1,19,28
1995,Santiago Cañizares,Real Madrid CF,España,1,0,2,45
1995,Lars Winde,Aalborg BK,Dinamarca,1,0,2,45
1995,Billy Thomson,Rangers FC,Escocia,1,0,3,15
1995,Ruslan Nigmatullin,FC Spartak de Moscú,Rusia,2,0,4,45
1995,Jørn Jamtfall,Rosenborg BK,Noruega,2,0,7,26
1995,Pascal Zuberbühler,Grasshopper Club Zurich,Suiza,3,0,8,34
1995,Thomas Gill,Aalborg BK,Noruega,5,0,10,45
1995,Andy Goram,Rangers FC,Escocia,6,0,11,45
1996,Peter Schmeichel,Manchester United,Dinamarca / Polonia,9,5,4,203
1996,Angelo Peruzzi,Juventus de Turín,Italia,9,5,6,135
1996,Stefan Klos,Borussia Dortmund,Alemania,11,5,10,99
1996,Hilário,FC Oporto,Portugal,5,3,5,90
1996,Edwin van der Sar,Ajax de Ámsterdam,Países Bajos,10,3,13,69
1996,Pascal Zuberbühler,Grasshopper Club Zurich,Suiza,6,2,5,108
1996,Rüştü Reçber,Fenerbahce,Turquía,6,2,6,90
1996,José Francisco Molina,Atlético de Madrid,España,8,2,8,90
1996,Michelangelo Rampulla,Juventus de Turín,Italia,2,1,1,180
1996,Andrzej Wozniak,FC Oporto,Polonia,3,1,3,90
1996,Bogdan Stelea,FCSB,Rumania,5,1,9,45
1996,Maciej Szczesny,RTS Widzew Łódź,Polonia,6,1,10,54
1996,Lionel Charbonnier,AJ Auxerre,Francia,7,1,10,63
1996,Jørn Jamtfall,Rosenborg BK,Noruega,8,1,14,51
1996,Raimond van der Gouw,Manchester United,Países Bajos,1,0,1,90
1996,Fabien Cool,AJ Auxerre,Francia,1,0,1,90
1996,Theo Snelders,Rangers FC,Países Bajos,2,0,5,36
1996,Daniel Gherasim,FCSB,Rumania,2,0,6,23
1996,Andy Goram,Rangers FC,Escocia,4,0,8,45
1996,Sebastiano Rossi,AC Milan,Italia,6,0,11,49
1996,Michael Konsel,SK Rapid Viena,Austria,6,0,12,45
1996,Thomas Ravelli,IFK Göteborg,Suecia,6,0,13,42
1997,Stefan Klos,Borussia Dortmund,Alemania,10,6,5,180
1997,Bodo Illgner,Real Madrid CF,Alemania,5,4,1,450
1997,Santiago Cañizares,Real Madrid CF,España,6,3,4,135
1997,Gianluigi Buffon,Parma,Italia,6,3,5,108
1997,Jerzy Dudek,Feyenoord,Polonia,6,3,10,54
1997,Peter Schmeichel,Manchester United,Dinamarca / Polonia,7,3,5,126
1997,Oliver Kahn,Bayern Múnich,Alemania,8,3,7,103
1997,Dirk Heinen,Bayer 04 Leverkusen,Alemania,8,3,11,65
1997,Fabien Barthez,AS Mónaco,Francia,10,3,15,60
1997,Jørn Jamtfall,Rosenborg BK,Noruega,6,2,8,68
1997,Ronald Waterreus,PSV Eindhoven,Países Bajos,6,2,8,68
1997,Filip De Wilde,Sporting de Lisboa,Bélgica,6,2,8,59
1997,Christophe Revault,París Saint-Germain FC,Francia,6,2,10,54
1997,Tomas Postulka,AC Sparta Praga,República Checa,6,2,11,49
1997,Kyriakos Tochouroglou,Olympiacos El Pireo,Grecia / Australia,6,2,14,39
1997,Oleksandr Shovkovskyi,FC Dinamo de Kiev,Ucrania,8,2,11,65
1997,Angelo Peruzzi,Juventus de Turín,Italia,11,2,15,62
1997,Michelangelo Rampulla,Juventus de Turín,Italia,1,1,0,0
1997,Jan Willem van Ede,PSV Eindhoven,Países Bajos,1,1,0,0
1997,Sören Järelöv,IFK Göteborg,Suecia,2,1,1,103
1997,Shaka Hislop,Newcastle United,Trinidad y Tobago / Inglaterra,2,1,1,180
1997,Marjan Mrmic,Besiktas JK,Croacia,3,1,4,62
1997,Fevzi Tuncay,Besiktas JK,Turquía,4,1,5,58
1997,Thomas Ravelli,IFK Göteborg,Suecia,5,1,8,55
1997,Ruud Hesp,FC Barcelona,Países Bajos,5,1,9,47
1998,Oliver Kahn,Bayern Múnich,Alemania,11,5,11,90
1998,Angelo Peruzzi,Juventus de Turín,Italia,8,4,6,105
1998,Jani Viander,HJK Helsinki,Finlandia,3,2,5,54
1998,Imanol Etxeberria,Athletic Club,España,6,2,6,90
1998,Edwin van der Sar,Ajax de Ámsterdam,Países Bajos,6,2,6,90
1998,Guillaume Warmuz,RC Lens,Francia,6,2,6,90
1998,Aleksandr Filimonov,FC Spartak de Moscú,Rusia,6,2,6,90
1998,Drazen Ladic,GNK Dinamo Zagreb,Croacia,6,2,7,77
1998,Ruud Hesp,FC Barcelona,Países Bajos,6,2,9,60
1998,Gianluca Pagliuca,Inter de Milán,Italia,8,2,8,90
1998,Dimitrios Eleftheropoulos,Olympiacos El Pireo,Grecia,8,2,9,80
1998,Andreas Reinke,1.FC Kaiserslautern,Alemania,8,2,12,60
1998,Peter Schmeichel,Manchester United,Dinamarca / Polonia,11,2,16,62
1998,Patrick Lodewijks,PSV Eindhoven,Países Bajos,1,1,0,0
1998,Árni Arason,Rosenborg BK,Islandia,2,1,3,60
1998,Rui Correia,FC Oporto,Portugal,3,1,4,68
1998,Ivica Kralj,FC Oporto,Serbia / Montenegro,3,1,5,54
1998,Claudio Taffarel,Galatasaray,Brasil / Italia,6,1,8,68
1998,Jozef Wandzik,Panathinaikos FC,Polonia,6,1,9,60
1998,Kazimierz Sidorczuk,SK Sturm Graz,Polonia / Austria,6,1,16,34
1998,Bodo Illgner,Real Madrid CF,Alemania,8,1,11,65
1998,Oleksandr Shovkovskyi,FC Dinamo de Kiev,Ucrania,10,1,12,75
1998,Wilburt Need,PSV Eindhoven,Países Bajos,1,0,3,21
1998,Sergey Ovchinnikov,SL Benfica,Rusia,2,0,3,60
1998,Emeka Andersen,Brøndby IF,Dinamarca,2,0,7,26
1999,Francesco Toldo,Fiorentina,Italia,11,7,13,76
1999,Ed de Goey,Chelsea FC,Países Bajos,14,6,14,90
1999,Vítor Baía,FC Oporto,Portugal,9,5,7,114
1999,Luca Marchegiani,SS Lazio,Italia,10,5,6,150
1999,Raimond van der Gouw,Manchester United,Países Bajos,7,4,5,126
1999,Santiago Cañizares,Valencia CF,España,11,4,11,88
1999,Jerzy Dudek,Feyenoord,Polonia,12,4,13,83
1999,Iker Casillas,Real Madrid CF,España,12,4,19,57
1999,Drazen Ladic,GNK Dinamo Zagreb,Croacia,4,3,2,141
1999,Jørn Jamtfall,Rosenborg BK,Noruega,8,3,9,80
1999,Tomas Postulka,AC Sparta Praga,República Checa,8,3,13,55
1999,Stéphane Porato,Olympique de Marsella,Francia,10,3,18,50
1999,Ulrich Ramé,Girondins de Burdeos,Francia,11,3,18,55
1999,Albano Bizzarri,Real Madrid CF,Argentina / Italia,4,2,2,180
1999,Francesc Arnau,FC Barcelona,España,4,2,5,72
1999,Marco Ballotta,SS Lazio,Italia,4,2,6,60
1999,Adam Matysek,Bayer 04 Leverkusen,Polonia,6,2,7,77
1999,Mark Bosnich,Manchester United,Australia / Croacia,7,2,6,105
1999,Andrés Palop,Valencia CF,España,7,2,7,81
1999,Lee Baxter,AIK,Escocia / Suecia,1,1,0,0
1999,Teddy Richert,Girondins de Burdeos,Francia,1,1,0,0
1999,Stéphane Trévisan,Olympique de Marsella,Francia,2,1,1,180
1999,Luka Gresak,NK Maribor,Eslovenia,2,1,2,90
1999,Jimmy van Fessem,Willem II Tilburg,Países Bajos,3,1,2,103
1999,Lionel Charbonnier,Rangers FC,Francia,3,1,3,90
2000,Santiago Cañizares,Valencia CF,España,16,9,12,120
2000,Oliver Kahn,Bayern Múnich,Alemania,16,9,13,109
2000,David Seaman,Arsenal FC,Inglaterra,10,4,8,113
2000,Nigel Martyn,Leeds United,Inglaterra,10,4,14,64
2000,Claudio Taffarel,Galatasaray,Brasil / Italia,11,4,16,62
2000,Fabien Barthez,Manchester United,Francia,12,4,10,108
2000,Grégory Coupet,Olympique de Lyon,Francia,12,4,10,108
2000,Konstantinos Chalkias,Panathinaikos FC,Grecia,4,3,2,167
2000,Stefan Klos,Rangers FC,Alemania,4,3,3,120
2000,Josef Schicklgruber,SK Sturm Graz,Austria,5,3,10,37
2000,Iker Casillas,Real Madrid CF,España,11,3,15,66
2000,Aleksandr Filimonov,FC Spartak de Moscú,Rusia,12,3,13,83
2000,José Francisco Molina,RC Deportivo de La Coruña,España,13,3,14,84
