season_year,player_name,nationality,team_name,apps,assists,penalties,goals
1992,Romário,Brasil,PSV Eindhoven,9,1,0,7
1992,Marco van Basten,Países Bajos,AC Milan,5,2,1,6
1992,Franck Sauzée,Francia,Olympique de Marsella,10,2,2,6
1992,Alen Bokšić,Croacia,Olympique de Marsella,8,1,0,6
1992,Johnny Ekström,Suecia,IFK Göteborg,10,2,0,5
1992,Marco Simone,Italia,AC Milan,8,2,0,4
1992,Gert Verheyen,Bélgica,Club Brujas KV,10,0,0,4
1992,Túlio Maravilha,Brasil,FC Sion,4,0,0,4
1992,Zé Carlos,Brasil,FC Oporto,4,0,1,4
1992,Dmitriy Karsakov,Rusia,CSKA Moscú,10,3,0,3
1992,Mark Hateley,Inglaterra,Rangers FC,8,2,0,3
1992,Juul Ellerman,Países Bajos,PSV Eindhoven,8,2,0,3
1992,Ian Durrant,Escocia,Rangers FC,9,2,0,3
1992,Arthur Numan,Países Bajos,PSV Eindhoven,8,1,0,3
1992,Abédi Pelé,Ghana / Francia,Olympique de Marsella,11,1,0,3
1992,Emil Kostadinov,Bulgaria,FC Oporto,8,1,0,3
1992,Jean-Pierre Papin,Francia,AC Milan,7,1,0,3
1992,Frank Rijkaard,Países Bajos / Surinam,AC Milan,6,1,0,3
1992,Lorenzo Staelens,Bélgica,Club Brujas KV,10,0,0,3
1992,Mikael Nilsson,Suecia,IFK Göteborg,7,0,0,3
1992,Toni,Portugal / Guinea-Bissau,FC Oporto,3,0,0,3
1992,Rudi Völler,Alemania,Olympique de Marsella,8,6,0,2
1992,Jaime Magalhães,Portugal,FC Oporto,6,3,0,2
1992,Basile Boli,Francia / Costa de Marfil,Olympique de Marsella,9,2,0,2
1992,Semedo,Portugal,FC Oporto,9,2,0,2
1993,Wynton Rufer,Nueva Zelanda,SV Werder Bremen,10,3,2,8
1993,Ronald Koeman,Países Bajos,FC Barcelona,12,2,3,8
1993,Hristo Stoichkov,Bulgaria,FC Barcelona,8,3,0,7
1993,Luc Nilis,Bélgica,RSC Anderlecht,9,0,0,7
1993,Bernd Hobsch,Alemania,SV Werder Bremen,8,3,0,5
1993,Valeriy Karpin,Rusia / Estonia,FC Spartak de Moscú,10,1,0,5
1993,Jean-Pierre Papin,Francia,AC Milan,6,2,0,4
1993,Viktor Onopko,Rusia / Ucrania,FC Spartak de Moscú,9,1,0,4
1993,Jürgen Klinsmann,Alemania / Estados Unidos,AS Mónaco,10,1,0,4
1993,Kubilay Türkyilmaz,Suiza / Turquía,Galatasaray,7,1,0,4
1993,Marco Bode,Alemania,SV Werder Bremen,10,0,0,4
1993,Nikolay Pisarev,Rusia,FC Spartak de Moscú,9,0,0,4
1993,Sergey Rodionov,Rusia,FC Spartak de Moscú,6,0,0,4
1993,Daniele Massaro,Italia,AC Milan,11,0,0,4
1993,Dejan Savicevic,Montenegro / Serbia,AC Milan,7,5,0,3
1993,Youri Djorkaeff,Francia / Armenia,AS Mónaco,11,2,1,3
1993,Victor Ikpeba,Nigeria,AS Mónaco,9,1,0,3
1993,Jerzy Podbrozny,Polonia,Lech Poznan,4,1,2,3
1993,Danny Boffin,Bélgica,RSC Anderlecht,10,0,0,3
1993,John Bosman,Países Bajos,RSC Anderlecht,10,0,0,3
1993,Domingos Paciência,Portugal,FC Oporto,8,0,0,3
1993,Enzo Scifo,Bélgica / Italia,AS Mónaco,11,3,0,2
1993,Mario Basler,Alemania,SV Werder Bremen,9,2,0,2
1993,José Mari Bakero,España,FC Barcelona,9,2,0,2
1993,Txiki Begiristain,España,FC Barcelona,10,2,0,2
1994,George Weah,Liberia / Francia,París Saint-Germain FC,10,1,0,7
1994,Jari Litmanen,Finlandia,Ajax de Ámsterdam,11,2,0,6
1994,Magnus Erlingmark,Suecia,IFK Göteborg,8,1,0,4
1994,Marco Simone,Italia,AC Milan,9,0,0,4
1994,Hristo Stoichkov,Bulgaria,FC Barcelona,8,3,0,3
1994,Mehmet Scholl,Alemania / Turquía,Bayern Múnich,10,2,1,3
1994,Claudio Caniggia,Argentina,SL Benfica,7,1,1,3
1994,Romário,Brasil,FC Barcelona,5,1,0,3
1994,José Mari Bakero,España,FC Barcelona,7,1,0,3
1994,Christian Nerlinger,Alemania,Bayern Múnich,10,0,0,3
1994,Viktor Leonenko,Ucrania / Rusia,FC Dinamo de Kiev,5,0,1,3
1994,Ronald de Boer,Países Bajos,Ajax de Ámsterdam,10,2,0,2
1994,Jean-Pierre Papin,Francia,Bayern Múnich,3,2,0,2
1994,Patrick Kluivert,Países Bajos / Surinam,Ajax de Ámsterdam,10,2,0,2
1994,Raí,Brasil,París Saint-Germain FC,6,1,0,2
1994,Stefan Rehn,Suecia,IFK Göteborg,8,1,0,2
1994,Nikolay Pisarev,Rusia,FC Spartak de Moscú,6,1,0,2
1994,Lee Sharpe,Inglaterra,Manchester United,3,1,0,2
1994,Dejan Savicevic,Montenegro / Serbia,AC Milan,6,1,0,2
1994,Frank de Boer,Países Bajos,Ajax de Ámsterdam,10,1,0,2
1994,João Pinto,Portugal,SL Benfica,7,1,0,2
1994,Christian Panucci,Italia,AC Milan,10,1,0,2
1994,Heimo Pfeifenberger,Austria,SV Casino Salzburg,6,0,0,2
1994,Adrian Ilie,Rumania,Steaua Bucarest,4,0,0,2
1994,Toni Savevski,Macedonia del Norte / Grecia,AEK Atenas FC,4,0,0,2
1995,Jari Litmanen,Finlandia,Ajax de Ámsterdam,10,2,1,9
1995,Alessandro Del Piero,Italia,Juventus de Turín,11,3,0,6
1995,Raúl,España,Real Madrid CF,8,2,0,6
1995,Krzysztof Warzycha,Polonia / Grecia,Panathinaikos FC,9,1,0,6
